date_local,latitude,longitude,parameter_name,arithmetic_mean
2015-04-12,40.816,-73.902,Ozone,0.024940999999999998
2015-04-13,40.816,-73.902,Ozone,0.025647
2015-04-14,40.816,-73.902,Ozone,0.016429
2015-04-15,40.816,-73.902,Ozone,0.035294
2015-04-16,40.816,-73.902,Ozone,0.026352999999999998
2015-04-17,40.816,-73.902,Ozone,0.022765
2015-04-18,40.816,-73.902,Ozone,0.039
2015-04-19,40.816,-73.902,Ozone,0.028058999999999997
2015-04-20,40.816,-73.902,Ozone,0.017294
2015-04-21,40.816,-73.902,Ozone,0.025058999999999998
2015-04-22,40.816,-73.902,Ozone,0.029356999999999998
2015-04-23,40.816,-73.902,Ozone,0.028529
2015-04-24,40.816,-73.902,Ozone,0.030470999999999998
2015-04-25,40.816,-73.902,Ozone,0.023587999999999998
2015-04-26,40.816,-73.902,Ozone,0.030764999999999997
2015-04-27,40.816,-73.902,Ozone,0.025058999999999998
2015-04-28,40.816,-73.902,Ozone,0.03
2015-04-29,40.816,-73.902,Ozone,0.029928999999999997
2015-04-30,40.816,-73.902,Ozone,0.025941
2015-05-01,40.816,-73.902,Ozone,0.020294
2015-05-02,40.816,-73.902,Ozone,0.022118
2015-05-03,40.816,-73.902,Ozone,0.020235
2015-05-04,40.816,-73.902,Ozone,0.030764999999999997
2015-05-05,40.816,-73.902,Ozone,0.030823999999999997
2015-05-06,40.816,-73.902,Ozone,0.018588
2015-05-07,40.816,-73.902,Ozone,0.028058999999999997
2015-05-08,40.816,-73.902,Ozone,0.029175999999999997
2015-05-09,40.816,-73.902,Ozone,0.014117999999999999
2015-05-10,40.816,-73.902,Ozone,0.013824
2015-05-11,40.816,-73.902,Ozone,0.011529
2015-05-12,40.816,-73.902,Ozone,0.041412
2015-05-13,40.816,-73.902,Ozone,0.030411999999999998
2015-05-14,40.816,-73.902,Ozone,0.037929
2015-05-15,40.816,-73.902,Ozone,0.041176
2015-05-16,40.816,-73.902,Ozone,0.015646999999999998
2015-05-17,40.816,-73.902,Ozone,0.028117999999999997
2015-05-18,40.816,-73.902,Ozone,0.025765
2015-05-19,40.816,-73.902,Ozone,0.020706
2015-05-20,40.816,-73.902,Ozone,0.031882
2015-05-21,40.816,-73.902,Ozone,0.026234999999999998
2015-05-22,40.816,-73.902,Ozone,0.044176
2015-05-23,40.816,-73.902,Ozone,0.035117999999999996
2015-05-24,40.816,-73.902,Ozone,0.044412
2015-05-25,40.816,-73.902,Ozone,0.036647
2015-05-26,40.816,-73.902,Ozone,0.028
2015-05-27,40.816,-73.902,Ozone,0.014471
2015-05-28,40.816,-73.902,Ozone,0.028471
2015-05-29,40.816,-73.902,Ozone,0.029647
2015-05-30,40.816,-73.902,Ozone,0.018234999999999998
2015-05-31,40.816,-73.902,Ozone,0.025882
2015-06-01,40.816,-73.902,Ozone,0.017941
2015-06-02,40.816,-73.902,Ozone,0.011941
2015-06-03,40.816,-73.902,Ozone,0.026941
2015-06-04,40.816,-73.902,Ozone,0.027857
2015-06-05,40.816,-73.902,Ozone,0.015059
2015-06-06,40.816,-73.902,Ozone,0.035412
2015-06-07,40.816,-73.902,Ozone,0.034824
2015-06-08,40.816,-73.902,Ozone,0.028
2015-06-09,40.816,-73.902,Ozone,0.038167
2015-06-10,40.816,-73.902,Ozone,0.036470999999999996
2015-06-11,40.816,-73.902,Ozone,0.044882
2015-06-12,40.816,-73.902,Ozone,0.031353
2015-06-13,40.816,-73.902,Ozone,0.029588
2015-06-14,40.816,-73.902,Ozone,0.041176
2015-06-15,40.816,-73.902,Ozone,0.028117999999999997
2015-06-16,40.816,-73.902,Ozone,0.021
2015-06-17,40.816,-73.902,Ozone,0.023933
2015-06-18,40.816,-73.902,Ozone,0.025941
2015-06-19,40.816,-73.902,Ozone,0.029882
2015-06-20,40.816,-73.902,Ozone,0.024353
2015-06-21,40.816,-73.902,Ozone,0.028176
2015-06-22,40.816,-73.902,Ozone,0.039941
2015-06-23,40.816,-73.902,Ozone,0.035824
2015-06-24,40.816,-73.902,Ozone,0.032411999999999996
2015-06-25,40.816,-73.902,Ozone,0.033412
2015-06-26,40.816,-73.902,Ozone,0.039824
2015-06-27,40.816,-73.902,Ozone,0.030587999999999997
2015-06-28,40.816,-73.902,Ozone,0.025824
2015-06-29,40.816,-73.902,Ozone,0.026941
2015-06-30,40.816,-73.902,Ozone,0.035352999999999996
2015-07-01,40.816,-73.902,Ozone,0.048
2015-07-02,40.816,-73.902,Ozone,0.020267
2015-07-03,40.816,-73.902,Ozone,0.047706
2015-07-04,40.816,-73.902,Ozone,0.037587999999999996
2015-07-05,40.816,-73.902,Ozone,0.034294
2015-07-06,40.816,-73.902,Ozone,0.030059
2015-07-07,40.816,-73.902,Ozone,0.030528999999999997
2015-07-08,40.816,-73.902,Ozone,0.020940999999999998
2015-07-09,40.816,-73.902,Ozone,0.026428999999999998
2015-07-10,40.816,-73.902,Ozone,0.031
2015-07-11,40.816,-73.902,Ozone,0.043882
2015-07-12,40.816,-73.902,Ozone,0.037705999999999996
2015-07-13,40.816,-73.902,Ozone,0.033
2015-07-14,40.816,-73.902,Ozone,0.02325
2015-07-15,40.816,-73.902,Ozone,0.032764999999999996
2015-07-16,40.816,-73.902,Ozone,0.036470999999999996
2015-07-17,40.816,-73.902,Ozone,0.039588
2015-07-18,40.816,-73.902,Ozone,0.026882
2015-07-19,40.816,-73.902,Ozone,0.048412
2015-07-20,40.816,-73.902,Ozone,0.043882
2015-07-21,40.816,-73.902,Ozone,0.040824
2015-07-22,40.816,-73.902,Ozone,0.033471
2015-07-23,40.816,-73.902,Ozone,0.034412
2015-07-24,40.816,-73.902,Ozone,0.032175999999999996
2015-07-25,40.816,-73.902,Ozone,0.048
2015-07-26,40.816,-73.902,Ozone,0.040059
2015-07-27,40.816,-73.902,Ozone,0.032882
2015-07-28,40.816,-73.902,Ozone,0.041176
2015-07-29,40.816,-73.902,Ozone,0.041
2015-07-30,40.816,-73.902,Ozone,0.021824
2015-07-31,40.816,-73.902,Ozone,0.030764999999999997
2015-08-01,40.816,-73.902,Ozone,0.038940999999999996
2015-08-02,40.816,-73.902,Ozone,0.038118
2015-08-03,40.816,-73.902,Ozone,0.044235
2015-08-04,40.816,-73.902,Ozone,0.040706
2015-08-05,40.816,-73.902,Ozone,0.034800000000000005
2015-08-06,40.816,-73.902,Ozone,0.032764999999999996
2015-08-07,40.816,-73.902,Ozone,0.030352999999999998
2015-08-08,40.816,-73.902,Ozone,0.029234999999999997
2015-08-09,40.816,-73.902,Ozone,0.025647
2015-08-10,40.816,-73.902,Ozone,0.025412
2015-08-11,40.816,-73.902,Ozone,0.024235
2015-08-12,40.816,-73.902,Ozone,0.026941
2015-08-13,40.816,-73.902,Ozone,0.027267
2015-08-14,40.816,-73.902,Ozone,0.044000000000000004
2015-08-15,40.816,-73.902,Ozone,0.051176
2015-08-16,40.816,-73.902,Ozone,0.036529
