Patient_County_Code,Admission_Start_Care_Date,RESP
58,20151213,56
59,20151213,57
60,20151213,24
61,20151213,61
62,20151213,8
58,20151214,73
59,20151214,81
60,20151214,33
61,20151214,53
62,20151214,10
58,20151215,65
59,20151215,68
60,20151215,33
61,20151215,48
62,20151215,21
58,20151216,55
59,20151216,62
60,20151216,30
61,20151216,58
62,20151216,6
58,20151217,70
59,20151217,69
60,20151217,33
61,20151217,48
62,20151217,10
58,20151218,65
59,20151218,55
60,20151218,30
61,20151218,42
62,20151218,9
58,20151219,60
59,20151219,49
60,20151219,27
61,20151219,41
62,20151219,7
58,20151220,57
59,20151220,52
60,20151220,29
61,20151220,46
62,20151220,12
58,20151221,77
59,20151221,65
60,20151221,30
61,20151221,52
62,20151221,13
58,20151222,73
59,20151222,78
60,20151222,24
61,20151222,57
62,20151222,10
58,20151223,44
59,20151223,48
60,20151223,28
61,20151223,46
62,20151223,10
58,20151224,57
59,20151224,68
60,20151224,23
61,20151224,48
62,20151224,9
58,20151225,56
59,20151225,50
60,20151225,27
61,20151225,34
62,20151225,8
58,20151226,50
59,20151226,45
60,20151226,24
61,20151226,33
62,20151226,9
58,20151227,56
59,20151227,54
60,20151227,26
61,20151227,37
62,20151227,14
58,20151228,46
59,20151228,48
60,20151228,28
61,20151228,43
62,20151228,20
58,20151229,38
59,20151229,32
60,20151229,16
61,20151229,20
62,20151229,8
58,20151230,18
59,20151230,20
60,20151230,7
61,20151230,10
62,20151230,5
58,20151231,5
59,20151231,0
60,20151231,3
61,20151231,0
62,20151231,3
