Patient_County_Code,Admission_Start_Care_Date,RESP
59,20150311,10
60,20150311,6
61,20150311,8
62,20150311,3
58,20150312,8
59,20150312,10
60,20150312,6
61,20150312,8
62,20150312,4
58,20150313,10
59,20150313,7
60,20150313,4
61,20150313,9
62,20150313,1
58,20150314,8
59,20150314,7
60,20150314,5
61,20150314,8
62,20150314,2
58,20150315,9
59,20150315,9
60,20150315,6
61,20150315,6
62,20150315,2
58,20150316,11
59,20150316,6
60,20150316,6
61,20150316,5
62,20150316,4
58,20150317,7
59,20150317,11
60,20150317,4
61,20150317,13
62,20150317,3
58,20150318,12
59,20150318,13
60,20150318,3
61,20150318,7
62,20150318,4
58,20150319,5
59,20150319,17
60,20150319,4
61,20150319,5
62,20150319,2
58,20150320,11
59,20150320,8
60,20150320,6
61,20150320,7
62,20150320,3
58,20150321,11
59,20150321,21
60,20150321,5
61,20150321,10
62,20150321,0
58,20150322,6
59,20150322,7
60,20150322,7
61,20150322,9
62,20150322,1
58,20150323,8
59,20150323,9
60,20150323,6
61,20150323,6
62,20150323,0
58,20150324,8
59,20150324,11
60,20150324,3
61,20150324,6
62,20150324,2
58,20150325,11
59,20150325,5
60,20150325,3
61,20150325,11
62,20150325,0
58,20150326,9
59,20150326,11
60,20150326,7
61,20150326,5
62,20150326,4
58,20150327,4
59,20150327,9
60,20150327,6
61,20150327,8
62,20150327,5
58,20150328,4
59,20150328,10
60,20150328,0
61,20150328,11
62,20150328,0
58,20150329,4
59,20150329,11
60,20150329,3
61,20150329,2
62,20150329,0
58,20150330,7
59,20150330,12
60,20150330,5
61,20150330,11
62,20150330,3
58,20150331,6
59,20150331,16
60,20150331,3
61,20150331,4
62,20150331,5
58,20150401,2
59,20150401,11
60,20150401,5
61,20150401,9
62,20150401,2
58,20150402,11
59,20150402,9
60,20150402,3
61,20150402,11
62,20150402,2
58,20150403,14
59,20150403,15
60,20150403,4
61,20150403,10
62,20150403,1
58,20150404,11
59,20150404,9
60,20150404,3
61,20150404,7
62,20150404,5
58,20150405,12
59,20150405,6
60,20150405,8
61,20150405,6
62,20150405,2
58,20150406,11
59,20150406,16
60,20150406,5
61,20150406,9
62,20150406,4
58,20150407,10
59,20150407,9
60,20150407,7
61,20150407,5
62,20150407,3
58,20150408,11
59,20150408,8
60,20150408,2
61,20150408,6
62,20150408,4
58,20150409,12
59,20150409,11
60,20150409,4
61,20150409,12
62,20150409,2
58,20150410,14
59,20150410,10
60,20150410,8
61,20150410,9
62,20150410,0
58,20150411,10
59,20150411,8
60,20150411,0
61,20150411,9
62,20150411,3
58,20150412,9
59,20150412,8
60,20150412,5
61,20150412,7
62,20150412,2
58,20150413,11
59,20150413,13
60,20150413,1
61,20150413,12
62,20150413,1
58,20150414,10
59,20150414,14
60,20150414,7
61,20150414,6
62,20150414,3
58,20150415,12
59,20150415,5
60,20150415,11
61,20150415,6
62,20150415,1
58,20150416,6
59,20150416,12
