date,aluminum_pm2_5_lc,barium_pm2_5_lc,bromine_pm2_5_lc,calcium_pm2_5_lc,carbon_monoxide,chlorine_pm2_5_lc,chromium_pm2_5_lc,copper_pm2_5_lc,iron_pm2_5_lc,lead_pm2_5_lc,manganese_pm2_5_lc,nickel_pm2_5_lc,nitrogen_dioxide_no2,outdoor_temperature,ozone,pm2_5_local_conditions,relative_humidity,selenium_pm2_5_lc,silicon_pm2_5_lc,sodium_pm2_5_lc,sulfur_dioxide,sulfur_pm2_5_lc,titanium_pm2_5_lc,vanadium_pm2_5_lc,zinc_pm2_5_lc
2015-01-03,0.01,0,0.003266666666666667,0.03763333333333334,0.4008541666666667,0.0371,0.0023333333333333335,0.0016666666666666668,0.09153333333333334,0.0013333333333333333,3.333333333333333e-4,0.002,20.886111,35.625,0.01594125,9,74.772727,3.333333333333333e-4,0.038,0.037,1.65416675,0.48933333333333334,0.0013333333333333333,0,0.0335
2015-01-06,0.005,0.0026666666666666666,0.0035,0.04326666666666667,0.40288483333333336,0.10563333333333333,3.333333333333333e-4,0.0033000000000000004,0.07136666666666666,0.0013333333333333333,0.0016666666666666668,0.002,24.543055666666667,19.979166499999998,0.00676475,10.64,65.45833350000001,6.666666666666666e-4,0.046233333333333335,0.12400000000000001,3.178125,0.617,0.001,0.0013333333333333333,0.044700000000000004
2015-01-09,0.0325,0.009000000000000001,0.0037500000000000003,0.060950000000000004,0.1438055,0.1272,0.0045000000000000005,0.0039000000000000003,0.1075,5e-4,0.003,0.0055,21.313889,26.291666499999998,0.01857375,9.225,55.583333499999995,0,0.07685,0.14,4.625,0.4355,0.0015,5e-4,0.02995
2015-01-12,0.019000000000000003,0.01,0.0066,0.08893333333333334,0.395788,0.158,0.003,0.0074,0.131,0.004,0.0026666666666666666,0.005,39.01715,36.708333499999995,0.0038529999999999997,15.4,76.9299245,6.666666666666666e-4,0.09996666666666668,0.129,3.567722,0.5306666666666666,0.0013333333333333333,0.0022,0.0684
2015-01-15,0.017,0.009666666666666667,0.005,0.07626666666666668,0.32654849999999996,0.0842,0,0.004766666666666667,0.10126666666666667,0.004,0.0026666666666666666,0.004,27.4875,29.6875,0.00857325,17.5,64.6875,3.333333333333333e-4,0.055933333333333335,0.1376666666666667,4.2885415,1.0966666666666667,0.0013333333333333333,0.0016666666666666668,0.05363333333333334
2015-01-18,0.018,0.018666666666666668,0.0028333333333333335,0.1179,0.65816,0.20233333333333334,0.001,0.0179,0.12143333333333334,0.004666666666666667,0.003,0.01,41.783333,35.9791665,0.0017205,15.100000000000001,82.1454545,0,0.08106666666666666,0.20600000000000002,3.678125,0.4586666666666667,0.001,0.0033333333333333335,0.10176666666666667
2015-01-21,0.015000000000000001,0.0028000000000000004,0.002,0.061366666666666674,0.2566231666666667,0.058,6.666666666666666e-4,0.0046,0.14213333333333333,0.003,0.0023333333333333335,0.004,26.326389000000002,30.229166499999998,0.011293999999999998,7.9714285714285715,45.083333499999995,0,0.04933333333333333,0.09033333333333333,2.7291665,0.3186666666666667,0.0023333333333333335,0.0016666666666666668,0.041
2015-01-24,0,0,0.005566666666666667,0.044000000000000004,0.467368,0.0682,3.333333333333333e-4,0.0012666666666666666,0.06643333333333334,0.0013333333333333333,0.001,0.0033333333333333335,24.94166633333333,35.125,0.012603,15.5875,80.8571425,3.333333333333333e-4,0.027333333333333334,0.069,2.98020825,0.9686666666666667,0.001,6.666666666666666e-4,0.03636666666666667
2015-01-27,0,0,0.0015,0.0381,0.31797933333333334,0.03956666666666667,0,0.0013666666666666669,0.026933333333333333,0.0013333333333333333,0.0013333333333333333,0.0033333333333333335,14.987499999999999,22.3125,0.02410275,5.8428571428571425,84.8125,0,0.03966666666666667,0.07866666666666668,2.8197917500000003,0.2546666666666667,0.001,0.0013333333333333333,0.029
2015-01-30,0.0016666666666666668,0.005666666666666667,0.0027,0.0441,0.2960555,0.07656666666666667,0.0016666666666666668,0.0023,0.06376666666666667,0.002,3.333333333333333e-4,0.0033333333333333335,24.59,31.125,0.026220499999999997,9.285714285714286,68.225,3.333333333333333e-4,0.037366666666666666,0.12733333333333333,2.7822915000000004,0.5263333333333333,6.666666666666666e-4,0.0013333333333333333,0.03976666666666667
2015-02-02,0.023,3.333333333333333e-4,0.0036333333333333335,0.04393333333333334,0.35558066666666666,0.10256666666666668,6.666666666666666e-4,0.0023333333333333335,0.0453,0.0016666666666666668,6.666666666666666e-4,0.004,20.189460666666665,25.682065,0.020205999999999998,8.450000000000001,86.875,0,0.03266666666666667,0.13433333333333333,2.541557,0.43400000000000005,6.666666666666666e-4,3.333333333333333e-4,0.038033333333333336
2015-02-05,0.013000000000000001,0.009333333333333332,0.0025333333333333336,0.0587,0.29854166666666665,0.1048,0.001,0.0041333333333333335,0.07803333333333333,0.0036666666666666666,0.0013333333333333333,0.0036666666666666666,22.440277666666667,27.895833500000002,0.025676249999999998,10.2875,65.606061,0,0.05046666666666667,0.181,2.9177085,0.49800000000000005,0.0026666666666666666,0.0013333333333333333,0.04103333333333334
2015-02-08,0.009000000000000001,3.333333333333333e-4,0.008866666666666667,0.0429,0.3626945,0.5800000000000001,0,0.0020333333333333336,0.08560000000000001,0.0023333333333333335,0.004,0.002,23.351388999999998,33.270833499999995,0.016691249999999998,22.675,88.75,0.001,0.05366666666666667,0.19033333333333335,2.49791675,1.2133333333333334,0.0023333333333333335,3.333333333333333e-4,0.033633333333333335
